annotation_id,item_id,movieId,title,genres,release_date,poster_url,overview,vlm_visual_information_gap_score,vlm_cross_modal_gap_score,vlm_reason,vlm_main_objects,vlm_setting,vlm_visible_action,vlm_missing_information,vlm_genre_ambiguity,vlm_emotional_tension,vlm_implied_question,score_bin,human_missing_context_1_5,human_visual_ambiguity_1_5,human_emotional_tension_1_5,human_curiosity_1_5,human_notes
A022,2726,2726,"Killing, The (1956)",Crime|Film-Noir,1956-06-06,https://image.tmdb.org/t/p/w500/A6VzUPcADZGYdGHlVdWvpMNDF5d.jpg,"Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own.",1.0,0.9876404494382023,the image implies an unresolved question: What is the reason behind the man's presence with the rifle and the group of people on horseback?,man holding a rifle | money scattered on the ground | group of people on horseback | black hat worn by man | blue sky background,Western scene with a man holding a rifle and money scattered on the ground.,The man appears to be pointing his rifle at something off-screen while standing next to a group of people on horseback.,"exact location (e.g., town square) | reason for the man's presence with the rifle | identity of the people on horseback | weather conditions (e.g., rain) | specific time of day",western | crime drama | historical fiction,anxiety | danger | conflict,What is the reason behind the man's presence with the rifle and the group of people on horseback?,high,,,,,
A023,2327,2327,Tales from the Darkside: The Movie (1990),Fantasy|Horror|Thriller,1990-05-03,https://image.tmdb.org/t/p/w500/5q8WK4gW45Knxhpb29IVOCbbfI7.jpg,A young boy tells three stories of horror to distract a witch who plans to eat him.,1.0,0.8625862068965517,the image implies an unresolved question: What is the significance of the monster reading the book?,hands holding an open book | a monstrous face emerging from the pages | lightning bolts | the title 'Tales From The Darkside THE MOVIE',"a dark, ominous environment with red and blue hues, possibly representing a supernatural or horror setting.","a monstrous face is emerging from the pages of an open book held by two hands, suggesting a connection between the book's contents and the monster.",the exact location where the book is being read | the identity of the monster | the reason why the monster is reading the book,horror | supernatural | dark fantasy,fear | curiosity | anticipation,What is the significance of the monster reading the book?,high,,,,,
A024,728,728,Cold Comfort Farm (1995),Comedy,1995-01-01,https://image.tmdb.org/t/p/w500/fkPm7MQhn3YqcRDM9qFDKNHiw7D.jpg,"In this adaptation of the satirical British novel, Flora Poste, a plucky London society girl orphaned at age 19, finds a new home with some rough relatives, the Starkadders of Cold Comfort Farm. With a take-charge attitude and some encouragement from her mischievous friend, Mary, Flora changes the Starkadders' lives forever when she settles into their rustic estate, bringing the backward clan up to date and finding inspiration for her novel in the process.",0.8,0.8419117647058825,the image implies an unresolved question: What is the significance of the road sign and the suitcases?,two women | suitcase | road sign | suitcases | landscape,rural road with greenery and blue sky,standing next to suitcases,names of the women | exact location of the road sign | weather conditions | clothing details of the women | possible destination of the women,drama | comedy | historical fiction,anticipation | departure | nostalgia,What is the significance of the road sign and the suitcases?,middle,,,,,
A025,1810,1810,Primary Colors (1998),Comedy|Drama,1998-03-20,https://image.tmdb.org/t/p/w500/RXEgVSEBkMnV8LkEGkBpuz3mkD.jpg,"In this adaptation of the best-selling roman à clef about Bill Clinton's 1992 run for the White House, the young and gifted Henry Burton is tapped to oversee the presidential campaign of Governor Jack Stanton. Burton is pulled into the politician's colorful world and looks on as Stanton -- who has a wandering eye that could be his downfall -- contends with his ambitious wife, Susan, and an outspoken adviser, Richard Jemmons.",0.7000000000000001,0.6796296296296297,the image implies an unresolved question: What is the significance of this group's presence in front of the American flag?,John Travolta | Emma Thompson | Billy Bob Thornton | Adrian Lester | Maura Tierney,A formal event or gathering with a patriotic theme.,"Standing together, looking forward, possibly at an audience or a screen.","The exact location of the event (e.g., indoor or outdoor) | The specific occasion being depicted (e.g., political rally, award show)",Drama | Comedy | Politics,Confidence | Professionalism | Patriotism,What is the significance of this group's presence in front of the American flag?,low,,,,,
A026,1216,1216,"Big Blue, The (Grand bleu, Le) (1988)",Adventure|Drama|Romance,1988-05-10,https://image.tmdb.org/t/p/w500/3t5t7yaFiTJQlqxiTkXJMFZdkh3.jpg,"Childhood friends Jacques and Enzo share a passion for the danger of free diving. Jacques, following in the footsteps of his father, who died at sea when Jacques was a boy, harbors a remarkable ability to adjust his heart rate and breathing patterns in the water, with his vital signs more closely resembling those of dolphins than men.",0.6,0.7474999999999999,the image implies an unresolved question: What is the relationship between the dolphin and the person?,dolphin | person | ocean | night sky | stars,A serene ocean at night with a starry sky above.,A dolphin leaps out of the water towards a person in the water.,The identity of the person in the water.,Adventure | Nature | Drama,Amazement | Connection | Wonder,What is the relationship between the dolphin and the person?,low,,,,,
A027,94,94,Beautiful Girls (1996),Comedy|Drama|Romance,1996-02-09,https://image.tmdb.org/t/p/w500/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg,"During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",0.8,0.5141304347826088,the image implies an unresolved question: What kind of drinks do they prefer at this bar?,people | beer glasses | table | bar | smiling faces,a bar with people sitting around a table,drinking beer,names of individuals | exact location of the bar | type of drinks other than beer | weather conditions outside | time of day,comedy | drama | romance,joy | relaxation | friendship,What kind of drinks do they prefer at this bar?,middle,,,,,
A028,415,415,Another Stakeout (1993),Comedy|Thriller,1993-07-22,https://image.tmdb.org/t/p/w500/hBItFUmCrRS1mel0TM69ymBD79k.jpg,A pair of immature detectives are joined by a pesky assistant district attorney in staking out a lakeside home where an important Mafia trial witness is believed to be heading.,0.8,0.8744047619047619,the image implies an unresolved question: What is happening behind the blinds?,A woman | A man | A dog | Blinds | Text,The image appears to be a movie poster with a window covered by blinds.,Peering through blinds,The expressions of the people behind the blinds | The exact color of the dog's fur | The specific details of the text | The background outside the window | The time of day depicted,Action | Comedy | Mystery,Suspense | Curiosity | Surprise,What is happening behind the blinds?,middle,,,,,
A029,66,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996-01-12,https://image.tmdb.org/t/p/w500/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg,"Now a shattered mind lurking in cyberspace, Jobe plots a return by hijacking a global VR network and rebuilding himself as something far beyond human. As reality starts to glitch, a small group races to stop a digital god who no longer needs a body.",0.7000000000000001,0.8727118644067797,the image implies an unresolved question: What is the significance of the electric arc in this image?,Lawnmower Man | Cyberspace | Man with glowing eyes | Electric arc | Golf course,"A dark, futuristic landscape with a golf course and buildings in the background.","The Lawnmower Man is holding an electric arc, creating a glowing effect around him.",The identity of the man with glowing eyes. | The exact location of the golf course relative to the buildings.,Science fiction | Action | Horror,Fear | Excitement | Curiosity,What is the significance of the electric arc in this image?,low,,,,,
A030,480,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,1993-06-11,https://image.tmdb.org/t/p/w500/maFjKnJ62hDQ9E66dKqDZgbUy0H.jpg,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",0.6,0.7861538461538462,the image implies an unresolved question: What is the significance of the T-Rex head in this image?,Jurassic Park logo | T-Rex head | Red circle background | Yellow border around the logo | White text 'Jurassic Park',A black background with a Jurassic Park logo centered.,The T-Rex head is prominently displayed within the red circle.,No specific location or time indicated.,Action | Adventure | Science Fiction,Excitement | Fear | Curiosity,What is the significance of the T-Rex head in this image?,low,,,,,
A031,1928,1928,Cimarron (1931),Drama|Western,1931-01-26,https://image.tmdb.org/t/p/w500/cqvfhi9s1VsTgXcV1B7vX0Cb1qA.jpg,"When the government opens up the Oklahoma territory for settlement, restless Yancey Cravat claims a plot of the free land for himself and moves his family there from Wichita. A newspaperman, lawyer, and just about everything else, Cravat soon becomes a leading citizen of the boom town of Osage. Once the town is established, however, he begins to feel confined once again, and heads for the Cherokee Strip, leaving his family behind. During this and other absences, his wife Sabra must learn to take care of herself and soon becomes prominent in her own right.",0.8,0.6869047619047619,the image implies an unresolved question: What happened to the man lying on the ground?,man holding gun | woman in red dress | horse lying down | man lying on ground | gun belt,dramatic outdoor scene with fire and smoke,"man holding gun, woman reaching out, man lying on ground","exact location (e.g., battlefield) | time of day | weather conditions | identity of characters | specific details about the horse",western | action | drama,danger | intense | conflict,What happened to the man lying on the ground?,middle,,,,,
A032,1304,1304,Butch Cassidy and the Sundance Kid (1969),Action|Western,1969-09-23,https://image.tmdb.org/t/p/w500/gFmmykF1Ym3OGzENo50nZQaD1dx.jpg,"As the west rapidly becomes civilized, a pair of outlaws in 1890s Wyoming find themselves pursued by a posse and decide to flee to South America in hopes of evading the law.",0.7000000000000001,0.9414893617021277,the image implies an unresolved question: What is the relationship between Butch Cassidy and The Sundance Kid?,Butch Cassidy | The Sundance Kid | A woman riding a bicycle | A man holding a gun | A man wearing a hat,Western setting with historical attire.,Standing and posing together.,The exact expressions of the characters. | The background details beyond the frame.,Western film | Crime drama | Historical fiction,Determination | Confidence | Suspense,What is the relationship between Butch Cassidy and The Sundance Kid?,low,,,,,
A033,95,95,Broken Arrow (1996),Action|Adventure|Thriller,1996-02-09,https://image.tmdb.org/t/p/w500/iBPMwYYJFvdCBkXrwV75peo5Lz2.jpg,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",0.8,0.7520833333333333,the image implies an unresolved question: What is happening in this intense scene?,gun | helicopter | woman | man | plane,"a desert landscape with mountains in the background, featuring explosions and helicopters in the sky.","two men standing in front of a fiery explosion, surrounded by helicopters in the sky.",the faces of the two men | the exact type of gun being held | the specific model of the plane | the color scheme of the helicopter | the precise location of the explosion,action | science fiction | adventure,anxiety | excitement | danger,What is happening in this intense scene?,middle,,,,,
A034,1489,1489,Cats Don't Dance (1997),Animation|Children|Musical,1997-03-26,https://image.tmdb.org/t/p/w500/6CrgfB0dNUsanaMWHTv0Y6AFeNd.jpg,An ambitious singing and dancing cat in 1939 Hollywood overcomes several obstacles to fulfill his dream of becoming a movie star.,0.6,0.7921428571428573,the image implies an unresolved question: What is the theme song of this animated movie?,Cats Don't Dance | Hollywood sign | Disney characters | Musical notes | Piano keys,"A vibrant, animated scene featuring Disney characters and musical elements.",Characters are dancing and playing music together.,The specific names of the Disney characters.,Animation | Children's entertainment | Musical comedy,Joyful | Excited | Playful,What is the theme song of this animated movie?,low,,,,,
A035,3632,3632,Monsieur Verdoux (1947),Comedy|Crime,1947-08-27,https://image.tmdb.org/t/p/w500/mUPXIinTQsBdLlDaWiSl7GwQXVs.jpg,"The film is about an unemployed banker, Henri Verdoux, and his sociopathic methods of attaining income. While being both loyal and competent in his work, Verdoux has been laid-off. To make money for his wife and child, he marries wealthy widows and then murders them. His crime spree eventually works against him when two particular widows break his normal routine.",0.8,0.9849315068493152,the image implies an unresolved question: What is the significance of the man's attire and posture?,man wearing a suit | man holding a cane | man wearing a hat | man standing upright | man's shadow behind him,"a plain background with a soft, pastel color scheme",standing still,the man's facial expression | the exact details of the suit and hat | the specific type of cane being held | any additional objects in the background | the time of day depicted,classic film poster | advertisement | portrayal of a historical figure,formality | confidence | authority,What is the significance of the man's attire and posture?,middle,,,,,
